transaction_id,user_id,datetime,amount,merchant,category,channel,payment_type,location,hour,day_of_week,is_weekend,time_bucket,category_avg_amount,category_std_amount,category_txn_count,merchant_avg_amount,merchant_txn_count,amount_zscore,flags,reasons
TXN000035,U001,2025-01-15 12:30:00,63.22,SHOPEE,Shopping,E-WALLET,DEBIT,Shah Alam,12,2,False,AFTERNOON,287.1,137.94,177,252.19,45,-1.62,NORMAL,No unusual spending behavior detected
TXN000037,U001,2025-01-15 13:09:00,72.58,GIANT,Grocery,DEBIT CARD,DEBIT,Kuala Lumpur,13,2,False,AFTERNOON,141.85,61.78,177,122.73,45,-1.12,NORMAL,No unusual spending behavior detected
TXN000036,U001,2025-01-15 15:12:00,343.54,LAZADA,Shopping,DEBIT CARD,DEBIT,Kuala Lumpur,15,2,False,AFTERNOON,287.1,137.94,177,299.9,51,0.41,NORMAL,No unusual spending behavior detected
TXN000039,U001,2025-01-16 12:19:00,89.54,PETRONAS,Fuel,DEBIT CARD,DEBIT,Kuala Lumpur,12,3,False,AFTERNOON,83.21,22.89,142,83.28,55,0.28,NORMAL,No unusual spending behavior detected
TXN000042,U001,2025-01-17 08:28:00,21.51,MCDONALDS,Food,DEBIT CARD,DEBIT,Kuala Lumpur,8,4,False,MORNING,71.84,34.34,263,65.96,57,-1.47,NORMAL,No unusual spending behavior detected
TXN000041,U001,2025-01-17 16:18:00,70.83,MCDONALDS,Food,DEBIT CARD,DEBIT,Kuala Lumpur,16,4,False,AFTERNOON,71.84,34.34,263,65.96,57,-0.03,NORMAL,No unusual spending behavior detected
TXN000040,U001,2025-01-17 19:07:00,14.47,MCDONALDS,Food,E-WALLET,DEBIT,Shah Alam,19,4,False,EVENING,71.84,34.34,263,65.96,57,-1.67,NORMAL,No unusual spending behavior detected
TXN000045,U001,2025-01-18 10:12:00,98.04,SHELL,Fuel,E-WALLET,DEBIT,Shah Alam,10,5,True,MORNING,83.21,22.89,142,81.18,45,0.65,NORMAL,No unusual spending behavior detected
TXN000044,U001,2025-01-18 13:04:00,79.72,GRAB*FOOD,Food,E-WALLET,DEBIT,Petaling Jaya,13,5,True,AFTERNOON,71.84,34.34,263,71.35,45,0.23,NORMAL,No unusual spending behavior detected
TXN000043,U001,2025-01-18 18:19:00,119.8,LOTUS,Grocery,DEBIT CARD,DEBIT,Petaling Jaya,18,5,True,EVENING,141.85,61.78,177,149.89,47,-0.36,NORMAL,No unusual spending behavior detected
TXN000046,U001,2025-01-18 22:47:00,14.6,GRAB*FOOD,Food,E-WALLET,DEBIT,Petaling Jaya,22,5,True,LATE_NIGHT,71.84,34.34,263,71.35,45,-1.67,NORMAL,No unusual spending behavior detected
TXN000049,U001,2025-01-19 10:35:00,107.46,SHOPEE,Shopping,E-WALLET,DEBIT,Kuala Lumpur,10,6,True,MORNING,287.1,137.94,177,252.19,45,-1.3,NORMAL,No unusual spending behavior detected
TXN000047,U001,2025-01-19 11:51:00,133.96,LOTUS,Grocery,E-WALLET,DEBIT,Shah Alam,11,6,True,MORNING,141.85,61.78,177,149.89,47,-0.13,NORMAL,No unusual spending behavior detected
TXN000050,U001,2025-01-19 19:42:00,115.82,LOCAL CAFE,Food,DEBIT CARD,DEBIT,Kuala Lumpur,19,6,True,EVENING,71.84,34.34,263,75.05,62,1.28,NORMAL,No unusual spending behavior detected
TXN000048,U001,2025-01-19 21:36:00,217.5,GIANT,Grocery,E-WALLET,DEBIT,Petaling Jaya,21,6,True,EVENING,141.85,61.78,177,122.73,45,1.22,NORMAL,No unusual spending behavior detected
TXN000052,U001,2025-01-20 12:26:00,41.89,VILLAGE GROCER,Grocery,E-WALLET,DEBIT,Petaling Jaya,12,0,False,AFTERNOON,141.85,61.78,177,146.37,36,-1.62,NORMAL,No unusual spending behavior detected
TXN000053,U001,2025-01-20 16:18:00,163.45,AEON,Grocery,E-WALLET,DEBIT,Kuala Lumpur,16,0,False,AFTERNOON,141.85,61.78,177,148.39,49,0.35,NORMAL,No unusual spending behavior detected
TXN000051,U001,2025-01-20 20:41:00,23.12,TNG TRANSIT,Transport,E-WALLET,DEBIT,Shah Alam,20,0,False,EVENING,27.72,12.25,129,27.53,54,-0.38,NORMAL,No unusual spending behavior detected
TXN000055,U001,2025-01-21 09:34:00,74.63,VILLAGE GROCER,Grocery,E-WALLET,DEBIT,Kuala Lumpur,9,1,False,MORNING,141.85,61.78,177,146.37,36,-1.09,NORMAL,No unusual spending behavior detected
TXN000054,U001,2025-01-21 12:43:00,65.32,GRAB*FOOD,Food,DEBIT CARD,DEBIT,Shah Alam,12,1,False,AFTERNOON,71.84,34.34,263,71.35,45,-0.19,NORMAL,No unusual spending behavior detected
TXN000058,U001,2025-01-22 14:27:00,36.43,LOCAL CAFE,Food,E-WALLET,DEBIT,Petaling Jaya,14,2,False,AFTERNOON,71.84,34.34,263,75.05,62,-1.03,NORMAL,No unusual spending behavior detected
TXN000057,U001,2025-01-22 20:37:00,6.11,RAPIDKL,Transport,E-WALLET,DEBIT,Petaling Jaya,20,2,False,EVENING,27.72,12.25,129,26.39,39,-1.76,NORMAL,No unusual spending behavior detected
TXN000056,U001,2025-01-22 20:56:00,117.67,GRAB*FOOD,Food,E-WALLET,DEBIT,Petaling Jaya,20,2,False,EVENING,71.84,34.34,263,71.35,45,1.33,NORMAL,No unusual spending behavior detected
TXN000059,U001,2025-01-23 14:46:00,15.4,RAPIDKL,Transport,E-WALLET,DEBIT,Shah Alam,14,3,False,AFTERNOON,27.72,12.25,129,26.39,39,-1.01,NORMAL,No unusual spending behavior detected
TXN000061,U001,2025-01-24 08:07:00,189.48,LOTUS,Grocery,E-WALLET,DEBIT,Petaling Jaya,8,4,False,MORNING,141.85,61.78,177,149.89,47,0.77,NORMAL,No unusual spending behavior detected
TXN000060,U001,2025-01-24 16:28:00,65.87,LAZADA,Shopping,E-WALLET,DEBIT,Shah Alam,16,4,False,AFTERNOON,287.1,137.94,177,299.9,51,-1.6,NORMAL,No unusual spending behavior detected
TXN000062,U001,2025-01-24 19:35:00,110.65,TEXAS CHICKEN,Food,DEBIT CARD,DEBIT,Kuala Lumpur,19,4,False,EVENING,71.84,34.34,263,75.97,49,1.13,NORMAL,No unusual spending behavior detected
TXN000065,U001,2025-01-25 09:18:00,37.88,KFC,Food,E-WALLET,DEBIT,Shah Alam,9,5,True,MORNING,71.84,34.34,263,70.94,50,-0.99,NORMAL,No unusual spending behavior detected
TXN000064,U001,2025-01-25 10:57:00,75.41,PETRONAS,Fuel,E-WALLET,DEBIT,Shah Alam,10,5,True,MORNING,83.21,22.89,142,83.28,55,-0.34,NORMAL,No unusual spending behavior detected
TXN000063,U001,2025-01-25 11:09:00,99.36,PETRONAS,Fuel,E-WALLET,DEBIT,Petaling Jaya,11,5,True,MORNING,83.21,22.89,142,83.28,55,0.71,NORMAL,No unusual spending behavior detected
TXN000067,U001,2025-01-26 15:01:00,238.36,AEON,Grocery,DEBIT CARD,DEBIT,Shah Alam,15,6,True,AFTERNOON,141.85,61.78,177,148.39,49,1.56,NORMAL,No unusual spending behavior detected
TXN000066,U001,2025-01-26 20:22:00,125.92,GIANT,Grocery,E-WALLET,DEBIT,Petaling Jaya,20,6,True,EVENING,141.85,61.78,177,122.73,45,-0.26,NORMAL,No unusual spending behavior detected
TXN000068,U001,2025-01-27 09:09:00,24.13,TNG TRANSIT,Transport,E-WALLET,DEBIT,Shah Alam,9,0,False,MORNING,27.72,12.25,129,27.53,54,-0.29,NORMAL,No unusual spending behavior detected
TXN000069,U001,2025-01-28 08:54:00,238.93,SHOPEE,Shopping,DEBIT CARD,DEBIT,Petaling Jaya,8,1,False,MORNING,287.1,137.94,177,252.19,45,-0.35,NORMAL,No unusual spending behavior detected
TXN000071,U001,2025-01-28 09:52:00,45.37,SHELL,Fuel,DEBIT CARD,DEBIT,Shah Alam,9,1,False,MORNING,83.21,22.89,142,81.18,45,-1.65,NORMAL,No unusual spending behavior detected
TXN000072,U001,2025-01-28 21:28:00,80.41,SHELL,Fuel,DEBIT CARD,DEBIT,Kuala Lumpur,21,1,False,EVENING,83.21,22.89,142,81.18,45,-0.12,NORMAL,No unusual spending behavior detected
TXN000070,U001,2025-01-28 23:37:00,68.68,PETRONAS,Fuel,DEBIT CARD,DEBIT,Petaling Jaya,23,1,False,LATE_NIGHT,83.21,22.89,142,83.28,55,-0.63,LATE_NIGHT_WEEKDAY,Transaction occurred late at night on a weekday
TXN000075,U001,2025-01-29 08:28:00,75.66,LOCAL CAFE,Food,E-WALLET,DEBIT,Shah Alam,8,2,False,MORNING,71.84,34.34,263,75.05,62,0.11,NORMAL,No unusual spending behavior detected
TXN000074,U001,2025-01-29 14:48:00,9.15,GRAB,Transport,E-WALLET,DEBIT,Kuala Lumpur,14,2,False,AFTERNOON,27.72,12.25,129,29.45,36,-1.52,NORMAL,No unusual spending behavior detected
TXN000076,U001,2025-01-29 14:59:00,102.14,SETEL,Fuel,E-WALLET,DEBIT,Shah Alam,14,2,False,AFTERNOON,83.21,22.89,142,85.28,42,0.83,NORMAL,No unusual spending behavior detected
TXN000073,U001,2025-01-29 19:19:00,103.58,GRAB*FOOD,Food,DEBIT CARD,DEBIT,Kuala Lumpur,19,2,False,EVENING,71.84,34.34,263,71.35,45,0.92,NORMAL,No unusual spending behavior detected
TXN000078,U001,2025-01-30 17:56:00,453.17,UNIQLO,Shopping,E-WALLET,DEBIT,Petaling Jaya,17,3,False,AFTERNOON,287.1,137.94,177,296.04,35,1.2,NORMAL,No unusual spending behavior detected
TXN000077,U001,2025-01-30 18:51:00,24.05,GRAB,Transport,DEBIT CARD,DEBIT,Petaling Jaya,18,3,False,EVENING,27.72,12.25,129,29.45,36,-0.3,NORMAL,No unusual spending behavior detected
TXN000079,U001,2025-01-31 09:48:00,74.35,KFC,Food,DEBIT CARD,DEBIT,Kuala Lumpur,9,4,False,MORNING,71.84,34.34,263,70.94,50,0.07,NORMAL,No unusual spending behavior detected
TXN000080,U001,2025-02-01 14:28:00,142.64,GIANT,Grocery,DEBIT CARD,DEBIT,Kuala Lumpur,14,5,True,AFTERNOON,141.85,61.78,177,122.73,45,0.01,NORMAL,No unusual spending behavior detected
TXN000081,U001,2025-02-01 17:53:00,13.72,GRAB,Transport,E-WALLET,DEBIT,Petaling Jaya,17,5,True,AFTERNOON,27.72,12.25,129,29.45,36,-1.14,NORMAL,No unusual spending behavior detected
TXN000084,U001,2025-02-02 12:12:00,497.89,IKEA,Shopping,E-WALLET,DEBIT,Petaling Jaya,12,6,True,AFTERNOON,287.1,137.94,177,300.27,46,1.53,NORMAL,No unusual spending behavior detected
TXN000083,U001,2025-02-02 14:38:00,15.81,TEXAS CHICKEN,Food,E-WALLET,DEBIT,Petaling Jaya,14,6,True,AFTERNOON,71.84,34.34,263,75.97,49,-1.63,NORMAL,No unusual spending behavior detected
TXN000082,U001,2025-02-02 16:59:00,85.11,MCDONALDS,Food,E-WALLET,DEBIT,Kuala Lumpur,16,6,True,AFTERNOON,71.84,34.34,263,65.96,57,0.39,NORMAL,No unusual spending behavior detected
TXN000086,U001,2025-02-03 13:11:00,218.11,GIANT,Grocery,DEBIT CARD,DEBIT,Kuala Lumpur,13,0,False,AFTERNOON,141.85,61.78,177,122.73,45,1.23,NORMAL,No unusual spending behavior detected
TXN000085,U001,2025-02-03 17:54:00,58.93,UNIQLO,Shopping,E-WALLET,DEBIT,Petaling Jaya,17,0,False,AFTERNOON,287.1,137.94,177,296.04,35,-1.65,NORMAL,No unusual spending behavior detected
TXN000090,U001,2025-02-04 08:51:00,98.5,PETRONAS,Fuel,DEBIT CARD,DEBIT,Shah Alam,8,1,False,MORNING,83.21,22.89,142,83.28,55,0.67,NORMAL,No unusual spending behavior detected
TXN000089,U001,2025-02-04 09:56:00,83.39,LOCAL CAFE,Food,E-WALLET,DEBIT,Petaling Jaya,9,1,False,MORNING,71.84,34.34,263,75.05,62,0.34,NORMAL,No unusual spending behavior detected
TXN000088,U001,2025-02-04 20:39:00,116.59,MCDONALDS,Food,DEBIT CARD,DEBIT,Shah Alam,20,1,False,EVENING,71.84,34.34,263,65.96,57,1.3,NORMAL,No unusual spending behavior detected
TXN000087,U001,2025-02-04 21:43:00,82.05,LOCAL CAFE,Food,DEBIT CARD,DEBIT,Shah Alam,21,1,False,EVENING,71.84,34.34,263,75.05,62,0.3,NORMAL,No unusual spending behavior detected
TXN000091,U001,2025-02-05 14:19:00,115.42,SETEL,Fuel,E-WALLET,DEBIT,Kuala Lumpur,14,2,False,AFTERNOON,83.21,22.89,142,85.28,42,1.41,NORMAL,No unusual spending behavior detected
TXN000092,U001,2025-02-05 21:43:00,316.86,IKEA,Shopping,DEBIT CARD,DEBIT,Shah Alam,21,2,False,EVENING,287.1,137.94,177,300.27,46,0.22,NORMAL,No unusual spending behavior detected
TXN000093,U001,2025-02-06 17:34:00,210.39,AEON,Grocery,DEBIT CARD,DEBIT,Shah Alam,17,3,False,AFTERNOON,141.85,61.78,177,148.39,49,1.11,NORMAL,No unusual spending behavior detected
TXN000094,U001,2025-02-06 19:46:00,453.27,LAZADA,Shopping,DEBIT CARD,DEBIT,Shah Alam,19,3,False,EVENING,287.1,137.94,177,299.9,51,1.2,NORMAL,No unusual spending behavior detected
TXN000097,U001,2025-02-07 09:43:00,71.53,PETRONAS,Fuel,E-WALLET,DEBIT,Kuala Lumpur,9,4,False,MORNING,83.21,22.89,142,83.28,55,-0.51,NORMAL,No unusual spending behavior detected
TXN000095,U001,2025-02-07 11:45:00,490.63,IKEA,Shopping,DEBIT CARD,DEBIT,Petaling Jaya,11,4,False,MORNING,287.1,137.94,177,300.27,46,1.48,NORMAL,No unusual spending behavior detected
TXN000096,U001,2025-02-07 13:17:00,173.39,UNIQLO,Shopping,DEBIT CARD,DEBIT,Shah Alam,13,4,False,AFTERNOON,287.1,137.94,177,296.04,35,-0.82,NORMAL,No unusual spending behavior detected
TXN000098,U001,2025-02-08 14:32:00,127.43,LOCAL CAFE,Food,E-WALLET,DEBIT,Kuala Lumpur,14,5,True,AFTERNOON,71.84,34.34,263,75.05,62,1.62,NORMAL,No unusual spending behavior detected
TXN000099,U001,2025-02-09 17:30:00,59.64,MCDONALDS,Food,DEBIT CARD,DEBIT,Kuala Lumpur,17,6,True,AFTERNOON,71.84,34.34,263,65.96,57,-0.36,NORMAL,No unusual spending behavior detected
TXN000101,U001,2025-02-10 10:37:00,81.93,VILLAGE GROCER,Grocery,E-WALLET,DEBIT,Shah Alam,10,0,False,MORNING,141.85,61.78,177,146.37,36,-0.97,NORMAL,No unusual spending behavior detected
TXN000102,U001,2025-02-10 15:52:00,104.72,PETRONAS,Fuel,E-WALLET,DEBIT,Petaling Jaya,15,0,False,AFTERNOON,83.21,22.89,142,83.28,55,0.94,NORMAL,No unusual spending behavior detected
TXN000100,U001,2025-02-10 17:44:00,87.57,VILLAGE GROCER,Grocery,E-WALLET,DEBIT,Kuala Lumpur,17,0,False,AFTERNOON,141.85,61.78,177,146.37,36,-0.88,NORMAL,No unusual spending behavior detected
TXN000103,U001,2025-02-11 09:45:00,82.4,AEON,Grocery,E-WALLET,DEBIT,Petaling Jaya,9,1,False,MORNING,141.85,61.78,177,148.39,49,-0.96,NORMAL,No unusual spending behavior detected
TXN000104,U001,2025-02-12 19:14:00,110.11,LOCAL CAFE,Food,DEBIT CARD,DEBIT,Petaling Jaya,19,2,False,EVENING,71.84,34.34,263,75.05,62,1.11,NORMAL,No unusual spending behavior detected
TXN000106,U001,2025-02-13 13:16:00,419.97,LAZADA,Shopping,E-WALLET,DEBIT,Shah Alam,13,3,False,AFTERNOON,287.1,137.94,177,299.9,51,0.96,NORMAL,No unusual spending behavior detected
TXN000105,U001,2025-02-13 21:33:00,20.52,GRAB,Transport,E-WALLET,DEBIT,Petaling Jaya,21,3,False,EVENING,27.72,12.25,129,29.45,36,-0.59,NORMAL,No unusual spending behavior detected
TXN000107,U001,2025-02-14 14:05:00,498.89,UNIQLO,Shopping,E-WALLET,DEBIT,Petaling Jaya,14,4,False,AFTERNOON,287.1,137.94,177,296.04,35,1.54,NORMAL,No unusual spending behavior detected
TXN000109,U001,2025-02-14 15:41:00,205.61,UNIQLO,Shopping,DEBIT CARD,DEBIT,Kuala Lumpur,15,4,False,AFTERNOON,287.1,137.94,177,296.04,35,-0.59,NORMAL,No unusual spending behavior detected
TXN000108,U001,2025-02-14 16:56:00,135.78,AEON,Grocery,E-WALLET,DEBIT,Petaling Jaya,16,4,False,AFTERNOON,141.85,61.78,177,148.39,49,-0.1,NORMAL,No unusual spending behavior detected
TXN000111,U001,2025-02-15 09:59:00,57.51,PETRONAS,Fuel,E-WALLET,DEBIT,Kuala Lumpur,9,5,True,MORNING,83.21,22.89,142,83.28,55,-1.12,NORMAL,No unusual spending behavior detected
TXN000112,U001,2025-02-15 11:37:00,35.75,GRAB,Transport,DEBIT CARD,DEBIT,Shah Alam,11,5,True,MORNING,27.72,12.25,129,29.45,36,0.66,NORMAL,No unusual spending behavior detected
TXN000113,U001,2025-02-15 17:14:00,87.91,LOTUS,Grocery,E-WALLET,DEBIT,Kuala Lumpur,17,5,True,AFTERNOON,141.85,61.78,177,149.89,47,-0.87,NORMAL,No unusual spending behavior detected
TXN000110,U001,2025-02-15 19:09:00,63.01,SHELL,Fuel,E-WALLET,DEBIT,Kuala Lumpur,19,5,True,EVENING,83.21,22.89,142,81.18,45,-0.88,NORMAL,No unusual spending behavior detected
TXN000114,U001,2025-02-16 13:19:00,7.13,TNG TRANSIT,Transport,DEBIT CARD,DEBIT,Shah Alam,13,6,True,AFTERNOON,27.72,12.25,129,27.53,54,-1.68,NORMAL,No unusual spending behavior detected
TXN000115,U001,2025-02-16 19:33:00,419.99,SHOPEE,Shopping,E-WALLET,DEBIT,Shah Alam,19,6,True,EVENING,287.1,137.94,177,252.19,45,0.96,NORMAL,No unusual spending behavior detected
TXN000116,U001,2025-02-17 14:07:00,28.4,LOCAL CAFE,Food,DEBIT CARD,DEBIT,Kuala Lumpur,14,0,False,AFTERNOON,71.84,34.34,263,75.05,62,-1.26,NORMAL,No unusual spending behavior detected
TXN000117,U001,2025-02-17 16:35:00,61.53,SHELL,Fuel,DEBIT CARD,DEBIT,Shah Alam,16,0,False,AFTERNOON,83.21,22.89,142,81.18,45,-0.95,NORMAL,No unusual spending behavior detected
TXN000118,U001,2025-02-18 21:12:00,21.63,RAPIDKL,Transport,DEBIT CARD,DEBIT,Kuala Lumpur,21,1,False,EVENING,27.72,12.25,129,26.39,39,-0.5,NORMAL,No unusual spending behavior detected
TXN000120,U001,2025-02-19 13:33:00,199.69,IKEA,Shopping,DEBIT CARD,DEBIT,Kuala Lumpur,13,2,False,AFTERNOON,287.1,137.94,177,300.27,46,-0.63,NORMAL,No unusual spending behavior detected
TXN000119,U001,2025-02-19 14:41:00,24.43,MCDONALDS,Food,DEBIT CARD,DEBIT,Petaling Jaya,14,2,False,AFTERNOON,71.84,34.34,263,65.96,57,-1.38,NORMAL,No unusual spending behavior detected
TXN000123,U001,2025-02-20 09:35:00,30.96,LOTUS,Grocery,E-WALLET,DEBIT,Shah Alam,9,3,False,MORNING,141.85,61.78,177,149.89,47,-1.8,NORMAL,No unusual spending behavior detected
TXN000121,U001,2025-02-20 10:22:00,64.55,LOCAL CAFE,Food,E-WALLET,DEBIT,Petaling Jaya,10,3,False,MORNING,71.84,34.34,263,75.05,62,-0.21,NORMAL,No unusual spending behavior detected
TXN000122,U001,2025-02-20 10:48:00,13.08,TNG TRANSIT,Transport,DEBIT CARD,DEBIT,Kuala Lumpur,10,3,False,MORNING,27.72,12.25,129,27.53,54,-1.2,NORMAL,No unusual spending behavior detected
